Delivery Date,Delivery Hour,Repeated Hour Flag,dam,rtm
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,15.74,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,9,N,3.12,9.92
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,21.38,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
2022-01-01,10,N,18.63,0.62
